file,iso,num_tokens,H_ML,H_MM,H_Jeff,H_Lap,H_SG,H_minmax,H_CS,H_NSB,H_shrink,corpus
bg_tokenized_1mio,bul,50000,9.7816801425,9.8925079755,10.1156573383,10.3884936963,9.7817770507,9.8032041395,10.0575648562,9.9444992001,9.7902269539,EPC
cs_tokenized_1mio,ces,50000,10.9385145278,11.0810239439,11.258764171,11.5076858354,10.9385887703,10.9550066705,11.1854915045,11.0666929709,10.9585755101,EPC
da_tokenized_1mio,dan,50000,9.4568362119,9.5507412321,9.7572328011,10.0083483816,9.4569378269,9.4793989705,9.6945873303,9.6067368757,9.4695454166,EPC
nl_tokenized_1mio,nld,50000,9.0845487655,9.1649357331,9.3571620338,9.5898497071,9.0846552894,9.1081966388,9.2990383527,9.2235144949,9.092268204,EPC
en_tokenized_1mio,eng,50000,9.0065496115,9.0735339422,9.2299958385,9.4242974411,9.0066533588,9.0295713953,9.176861118,9.1183176331,9.0147381797,EPC
et_tokenized_1mio,est,50000,11.3488535977,11.5234341246,11.7050867013,11.970907232,11.3489225299,11.3641704444,11.6302366478,11.4820669901,11.3700707607,EPC
fi_tokenized_1mio,fin,50000,11.4730372488,11.6639923644,11.8526476319,12.1306949324,11.4731050981,11.4881156499,11.7798887586,11.6131531983,11.4915991988,EPC
fr_tokenized_1mio,fra,50000,9.1956810628,9.2752456943,9.4594130215,9.6844589124,9.1957852009,9.2187971327,9.4027122131,9.3284981635,9.2070609868,EPC
de_tokenized_1mio,deu,50000,9.8755364828,9.9848206322,10.1973270473,10.460393035,9.8756311427,9.8965594989,10.1287952261,10.0300953359,9.8884445988,EPC
hu_tokenized_1mio,hun,50000,10.6513005949,10.8193312863,11.0744362459,11.3957894508,10.6513848506,10.6700255879,11.0049894356,10.8416433977,10.6586703297,EPC
it_tokenized_1mio,ita,50000,9.7960401192,9.8890218145,10.0676090505,10.2942538276,9.7961329794,9.816656073,10.0061496068,9.9242262725,9.811164095,EPC
lv_tokenized_1mio,lav,50000,10.9396693227,11.0856556339,11.2687669614,11.523657375,10.9397439441,10.9562466394,11.1920355497,11.0721738136,10.9585893603,EPC
lt_tokenized_1mio,lit,50000,11.2341000197,11.394296877,11.5698852519,11.8244434448,11.2341702204,11.2496960108,11.4803643622,11.3617143913,11.2574617132,EPC
el_tokenized_1mio,ell,50000,9.8669197106,9.9780360827,10.1949700007,10.4627412932,9.8670146939,9.8880159388,10.1329536666,10.0248633241,9.881086463,EPC
pl_tokenized_1mio,pol,50000,10.9788195959,11.1280808249,11.3135767023,11.5716493167,10.9788940227,10.9953540185,11.2390572563,11.1134388948,10.9986400002,EPC
pt_tokenized_1mio,por,50000,9.537400621,9.6267611518,9.8144166951,10.0471927157,9.5374988213,9.5592020749,9.7536565453,9.6726935651,9.5489851583,EPC
ro_tokenized_1mio,ron,50000,9.7669479609,9.8698986791,10.0739625785,10.3273262586,9.7670433417,9.7881296651,10.0120762107,9.9147758819,9.77841451,EPC
sk_tokenized_1mio,slk,50000,10.9315163807,11.0792339259,11.2666109715,11.5256540293,10.9315915484,10.948215511,11.1925590964,11.0674742032,10.9501325106,EPC
sl_tokenized_1mio,slv,50000,10.6616318456,10.7954273837,10.9857008965,11.2412037649,10.6617112464,10.6792696757,10.922773148,10.7991999503,10.6798410278,EPC
es_tokenized_1mio,spa,50000,9.0580828109,9.1460727814,9.3622208347,9.6193193716,9.058191946,9.0823156013,9.3025716516,9.2154437322,9.0656841591,EPC
sv_tokenized_1mio,swe,50000,9.6468586872,9.7493765968,9.9633122118,10.2247521505,9.6469573585,9.6687713678,9.8995702018,9.8024519399,9.6597855552,EPC
zam-x-udhr.csv,zam,1067,5.8692483281,5.98620533,6.0803982107,6.2466874809,5.8720040403,5.9549564113,6.1186350605,5.9319963195,5.9563462844,UDHR
tah-x-udhr.csv,tah,2134,6.018508585,6.1493246536,6.3577680339,6.6245385446,6.0204975458,6.107499656,6.4131005577,6.1713894037,6.0542007475,UDHR
ote-x-udhr.csv,ote,1352,6.0716091615,6.2049944278,6.3406925911,6.5496005838,6.0740633545,6.1582230773,6.3850318147,6.1672377128,6.1420890145,UDHR
guu-x-udhr.csv,guu,1824,6.1795858721,6.3278892275,6.5230939809,6.787296618,6.1816885517,6.2664464641,6.599576997,6.3224256982,6.216351743,UDHR
haw-x-udhr.csv,haw,1873,6.1896074587,6.2885857357,6.3957086436,6.5636079362,6.1913898414,6.2638780419,6.4021443152,6.2622656757,6.2556516876,UDHR
sag-x-udhr.csv,sag,1806,6.2584366897,6.3962356346,6.5595471698,6.7938303502,6.2604271119,6.3401703938,6.6056610445,6.3755008347,6.2992710228,UDHR
tca-x-udhr.csv,tca,1652,6.2582218502,6.404063298,6.57441631,6.8166607266,6.2603988038,6.3435689408,6.6378429919,6.3818537068,6.3169894935,UDHR
rar-x-udhr.csv,rar,2222,6.2655446292,6.3518985628,6.4453950612,6.5950815752,6.2670303429,6.3331289774,6.4429824085,6.3275772063,6.3193324488,UDHR
ada-x-udhr.csv,ada,2319,6.3234789281,6.4205295647,6.5376627613,6.7131891012,6.3250011378,6.3943405381,6.5353573826,6.4039144673,6.3802208203,UDHR
zro-x-udhr.csv,zro,1031,6.3630032259,6.5211259608,6.6062448277,6.7879539031,6.3655067544,6.4398047504,6.6799464435,6.4193206839,6.4627623556,UDHR
wwa-x-udhr.csv,wwa,734,6.3593922667,6.5726516835,6.651784202,6.8551483131,6.3626498816,6.4433091299,6.8074738773,6.4159701698,6.471103394,UDHR
smo-x-udhr.csv,smo,2196,6.4435129194,6.5571678566,6.6881022917,6.8840720417,6.4450998382,6.5154498523,6.7038760818,6.5346269483,6.5017307858,UDHR
fij-x-udhr.csv,fij,1549,6.4289102472,6.5700130869,6.6986182879,6.905851793,6.4309527921,6.5063089508,6.7530623097,6.5190660858,6.5059543954,UDHR
