ISO	SOV	SVO	OSV	OVS	VSO	VOS	MAX	WALS
aai	64	8	12	6	1	2	SOV	_
aak	81	17	20	33	5	9	SOV	_
aau	37	1	7	0	1	0	SOV	SOV
abt	29	7	5	8	1	1	SOV	SOV
aby	53	11	10	11	6	5	SOV	_
acc	4	27	5	1	2	2	SVO	_
acd	5	30	3	1	1	2	SVO	_
ace	3	70	10	6	6	6	SVO	No dominant order
acf	9	89	13	1	0	1	SVO	_
acn	103	2	26	12	2	1	SOV	_
acr	4	22	3	2	2	2	SVO	_
acu	21	5	3	0	0	2	SOV	_
ade	10	121	9	2	9	10	SVO	_
adh	16	94	4	1	5	10	SVO	_
adj	8	39	10	2	6	5	SVO	SVO
adz	48	15	11	9	7	5	SOV	SVO
aey	72	9	5	5	5	1	SOV	SOV
afr	523	142	52	13	44	2	SOV	_
agd	69	18	18	27	13	6	SOV	SOV
agg	39	9	8	3	3	0	SOV	SOV
agn	5	32	3	4	26	7	SVO	_
agr	12	4	3	2	1	1	SOV	_
agu	2	14	0	4	11	3	SVO	_
agw	1	50	3	1	0	0	SVO	_
ahk	20	4	13	10	1	0	SOV	SOV
aia	9	45	7	2	2	4	SVO	SVO
akb	7	23	5	11	48	5	VSO	_
ake	42	7	6	21	9	4	SOV	_
akh	24	3	3	2	4	0	SOV	_
aln	40	114	14	5	2	4	SVO	SVO
alp	7	51	9	3	4	2	SVO	SVO
alq	11	18	2	3	5	1	SVO	_
als	36	108	14	4	1	3	SVO	_
alt	82	2	10	40	9	1	SOV	_
alz	4	86	10	2	2	3	SVO	_
ame	6	11	2	1	3	2	SVO	_
amh	41	2	3	6	0	1	SOV	SOV
amm	8	1	0	0	1	0	SOV	_
amn	70	15	10	4	8	1	SOV	SOV
amp	14	7	2	1	3	1	SOV	SOV
amr	9	5	5	5	0	1	SOV	_
amu	5	21	2	4	15	8	SVO	_
ann	9	42	7	0	1	6	SVO	SVO
anv	9	38	5	2	9	6	SVO	_
aoj	16	78	11	2	6	8	SVO	SVO
aom	31	11	8	2	7	1	SOV	_
aon	11	30	5	0	1	4	SVO	_
aoz	9	115	9	1	4	9	SVO	_
ape	17	29	5	1	3	5	SVO	SVO
apn	5	5	1	2	1	1	SOV	SOV
apu	5	15	1	1	2	0	SVO	SVO
apw	29	3	8	6	4	1	SOV	SOV
apy	8	3	3	15	0	2	OVS	No dominant order
apz	26	10	4	1	2	0	SOV	_
arl	15	3	4	1	2	0	SOV	_
arn	10	48	10	7	13	4	SVO	SVO
aso	55	9	18	13	5	9	SOV	_
ata	7	58	8	0	9	3	SVO	_
atg	6	102	11	0	3	2	SVO	_
auc	20	1	8	6	1	0	SOV	SOV
auy	4	4	2	1	0	0	SOV	_
ava	45	24	9	19	21	2	SOV	SOV
avt	19	70	7	3	8	8	SVO	SVO
avu	7	1	5	3	0	1	SOV	No dominant order
awa	86	13	5	7	5	1	SOV	_
awb	37	15	12	6	8	2	SOV	SOV
ayo	7	20	2	2	5	3	SVO	SVO
ayr	59	8	9	3	3	1	SOV	_
aze	121	2	3	31	1	0	SOV	_
azg	2	8	4	1	7	5	SVO	_
azz	3	20	3	0	4	1	SVO	_
bam	92	22	7	4	0	1	SOV	SOV
ban	8	50	0	6	8	3	SVO	_
bao	26	4	29	6	0	5	OSV	_
bav	2	66	5	1	2	4	SVO	SVO
bbb	23	13	6	2	9	2	SOV	SOV
bbc	0	32	4	7	73	9	VSO	VOS
bbr	26	0	4	0	0	0	SOV	_
bcl	1	38	4	14	81	22	VSO	_
bcn	17	84	8	7	61	13	SVO	_
bcw	0	11	2	1	2	1	SVO	_
bdd	1	0	1	0	1	2	VOS	_
bef	39	11	9	8	6	3	SOV	_
bex	16	46	4	4	6	13	SVO	SVO
bfd	9	93	2	1	4	5	SVO	SVO
bgr	49	17	46	13	2	0	SOV	SOV
bgz	3	77	2	1	4	1	SVO	_
bhl	9	1	1	0	0	0	SOV	_
bhp	4	71	4	0	13	4	SVO	_
bib	36	10	4	1	1	0	SOV	_
big	60	13	10	3	3	3	SOV	_
bim	8	65	4	1	1	2	SVO	SVO
bis	3	28	7	0	1	1	SVO	_
biv	12	89	8	0	4	2	SVO	_
bjr	33	6	4	5	6	5	SOV	_
bjv	5	25	3	4	2	6	SVO	_
bkq	4	1	1	4	3	1	SOV	_
bku	4	75	7	2	2	5	SVO	_
bkv	15	86	3	3	3	4	SVO	_
blh	24	39	6	2	0	1	SVO	_
blz	5	83	9	3	5	5	SVO	_
bmh	29	5	1	0	2	0	SOV	_
bmr	52	7	12	6	5	0	SOV	_
bmu	45	12	5	7	2	3	SOV	_
bng	23	6	10	6	3	0	SOV	_
bnj	6	40	1	2	21	4	SVO	_
bnp	4	42	4	0	3	2	SVO	_
boa	15	20	6	4	9	4	SVO	_
boj	39	4	3	10	4	1	SOV	_
bon	58	9	3	0	2	0	SOV	_
box	8	67	9	1	2	3	SVO	_
bpr	3	26	1	1	17	3	SVO	_
bps	4	19	2	1	18	4	SVO	_
bqc	88	18	10	4	2	1	SOV	SOV
bre	13	131	11	1	41	11	SVO	SVO
bru	6	39	2	1	0	2	SVO	_
bsn	5	0	0	11	1	2	OVS	No dominant order
bss	11	46	10	0	5	10	SVO	_
btd	4	15	2	8	34	3	VSO	_
bth	5	130	9	2	1	4	SVO	_
bts	4	20	4	4	74	6	VSO	_
btx	3	33	1	7	14	10	SVO	No dominant order
bua	64	4	9	12	2	3	SOV	_
bud	20	99	14	3	3	5	SVO	SVO
bug	8	33	3	4	12	3	SVO	SVO
buk	11	44	3	1	0	4	SVO	_
bul	57	105	7	10	9	6	SVO	SVO
bvr	10	36	2	0	2	0	SVO	SOV
bvz	13	2	1	1	3	0	SOV	SOV
bwq	62	14	2	12	2	2	SOV	_
bwu	9	38	0	2	4	4	SVO	SVO
bxr	57	3	12	19	0	1	SOV	_
byr	30	6	8	7	1	1	SOV	_
byx	0	27	0	0	3	0	SVO	_
bzd	32	8	3	9	3	2	SOV	SOV
bzh	11	37	3	1	0	4	SVO	_
bzj	6	94	13	0	1	4	SVO	_
caa	12	32	4	2	5	11	SVO	_
cab	4	6	7	3	26	10	VSO	VSO
cac	5	14	4	3	5	13	SVO	VOS
caf	22	2	1	4	3	0	SOV	_
cak	35	124	5	13	18	15	SVO	_
cao	5	4	19	15	0	2	OSV	No dominant order
cap	75	2	8	2	3	1	SOV	SOV
car	25	8	6	29	5	4	OVS	SOV
cas	5	10	4	4	8	1	SVO	SVO
cat	91	236	31	21	6	8	SVO	SVO
cav	9	3	2	2	2	1	SOV	No dominant order
cax	7	34	1	7	20	4	SVO	_
cbc	3	2	3	0	0	2	SOV	_
cbi	27	1	7	3	1	2	SOV	SOV
cbm	1	18	1	3	3	3	SVO	_
cbr	17	3	4	1	4	1	SOV	SOV
cbs	24	12	9	9	4	5	SOV	_
cbt	2	0	0	0	0	0	SOV	_
cbu	3	1	0	0	0	0	SOV	SOV
cbv	5	1	10	2	0	1	OSV	_
cce	30	68	5	2	3	3	SVO	_
