ISO	SOV	SVO	OSV	OVS	VSO	VOS	MAX	WALS
aai	57	8	11	6	1	2	SOV	_
aak	77	16	20	30	5	9	SOV	_
aau	31	1	7	0	1	0	SOV	SOV
abt	29	6	4	8	1	1	SOV	SOV
aby	50	11	10	10	5	5	SOV	_
acc	4	19	5	1	2	2	SVO	_
acd	5	22	3	1	1	2	SVO	_
ace	3	50	8	5	6	6	SVO	No dominant order
acf	9	46	12	1	0	1	SVO	_
acn	57	2	17	11	2	1	SOV	_
acr	4	16	3	2	2	2	SVO	_
acu	18	2	3	0	0	2	SOV	_
ade	9	53	9	2	8	6	SVO	_
adh	16	61	3	1	5	10	SVO	_
adj	7	28	9	2	6	5	SVO	SVO
adz	42	13	11	9	7	5	SOV	SVO
aey	64	9	5	4	5	1	SOV	SOV
afr	315	85	45	13	37	2	SOV	_
agd	56	14	18	25	10	6	SOV	SOV
agg	37	7	8	3	3	0	SOV	SOV
agn	5	27	3	3	22	6	SVO	_
agr	11	4	3	2	1	1	SOV	_
agu	2	13	0	4	10	2	SVO	_
agw	1	37	3	1	0	0	SVO	_
ahk	16	4	12	10	1	0	SOV	SOV
aia	9	32	7	2	2	4	SVO	SVO
akb	7	19	4	6	36	5	VSO	_
ake	33	7	5	13	8	4	SOV	_
akh	19	3	3	2	3	0	SOV	_
aln	32	72	14	4	2	4	SVO	SVO
alp	6	31	8	3	4	2	SVO	SVO
alq	11	15	2	2	3	1	SVO	_
als	27	70	14	4	1	3	SVO	_
alt	62	2	9	32	3	1	SOV	_
alz	4	59	8	2	2	2	SVO	_
ame	6	11	2	1	3	2	SVO	_
amh	30	2	3	6	0	1	SOV	SOV
amm	8	1	0	0	1	0	SOV	_
amn	58	11	9	3	7	1	SOV	SOV
amp	13	7	2	1	3	1	SOV	SOV
amr	9	5	5	5	0	1	SOV	_
amu	5	20	2	4	13	8	SVO	_
ann	9	36	7	0	1	6	SVO	SVO
anv	8	35	5	2	9	6	SVO	_
aoj	15	69	11	2	6	7	SVO	SVO
aom	26	9	7	2	7	1	SOV	_
aon	10	26	5	0	1	3	SVO	_
aoz	9	66	9	1	4	9	SVO	_
ape	16	24	5	1	3	5	SVO	SVO
apn	5	5	1	2	1	1	SOV	SOV
apu	5	13	1	1	2	0	SVO	SVO
apw	29	3	8	5	4	1	SOV	SOV
apy	7	3	3	13	0	2	OVS	No dominant order
apz	22	9	4	1	1	0	SOV	_
arl	14	3	4	1	2	0	SOV	_
arn	8	46	10	7	13	4	SVO	SVO
aso	52	9	18	13	5	8	SOV	_
ata	7	46	7	0	8	3	SVO	_
atg	6	37	8	0	3	2	SVO	_
auc	20	1	8	6	1	0	SOV	SOV
auy	4	4	2	1	0	0	SOV	_
ava	38	18	9	18	19	2	SOV	SOV
avt	19	56	7	3	7	8	SVO	SVO
avu	6	1	5	3	0	1	SOV	No dominant order
awa	68	13	5	7	5	1	SOV	_
awb	33	14	10	6	7	2	SOV	SOV
ayo	7	18	2	2	5	3	SVO	SVO
ayr	57	8	9	3	3	1	SOV	_
aze	91	2	3	25	1	0	SOV	_
azg	2	8	4	1	7	4	SVO	_
azz	3	19	3	0	4	1	SVO	_
bam	50	16	4	3	0	1	SOV	SOV
ban	7	35	0	6	5	3	SVO	_
bao	26	4	24	6	0	5	SOV	_
bav	2	41	5	1	2	3	SVO	SVO
bbb	23	12	6	2	9	2	SOV	SOV
bbc	0	28	4	4	54	7	VSO	VOS
bbr	21	0	3	0	0	0	SOV	_
bcl	1	26	4	12	53	17	VSO	_
bcn	16	59	4	7	31	10	SVO	_
bcw	0	11	2	1	2	1	SVO	_
bdd	1	0	1	0	1	2	VOS	_
bef	35	10	9	8	5	3	SOV	_
bex	15	43	4	4	4	13	SVO	SVO
bfd	6	68	2	1	4	5	SVO	SVO
bgr	38	15	28	13	2	0	SOV	SOV
bgz	3	48	2	1	4	1	SVO	_
bhl	9	1	1	0	0	0	SOV	_
bhp	4	57	4	0	10	4	SVO	_
bib	27	10	4	1	1	0	SOV	_
big	48	13	8	3	3	3	SOV	_
bim	8	32	4	1	1	2	SVO	SVO
bis	3	17	7	0	1	1	SVO	_
biv	12	48	7	0	4	2	SVO	_
bjr	32	6	4	5	6	5	SOV	_
bjv	4	19	3	4	2	6	SVO	_
bkq	4	1	1	4	3	1	SOV	_
bku	4	43	7	2	2	5	SVO	_
bkv	14	40	3	2	3	4	SVO	_
blh	20	28	6	2	0	1	SVO	_
blz	5	51	9	3	3	4	SVO	_
bmh	21	5	1	0	2	0	SOV	_
bmr	39	7	11	6	4	0	SOV	_
bmu	36	11	5	7	2	3	SOV	_
bng	20	6	10	6	2	0	SOV	_
bnj	6	29	1	1	16	3	SVO	_
bnp	4	32	4	0	3	2	SVO	_
boa	14	12	5	4	9	4	SOV	_
boj	38	4	3	7	3	1	SOV	_
bon	49	8	2	0	2	0	SOV	_
box	8	42	8	1	2	3	SVO	_
bpr	3	26	1	1	15	3	SVO	_
bps	4	17	2	1	14	4	SVO	_
bqc	50	16	10	4	2	1	SOV	SOV
bre	9	86	8	1	30	11	SVO	SVO
bru	6	27	2	1	0	2	SVO	_
bsn	5	0	0	9	1	2	OVS	No dominant order
bss	10	38	10	0	5	9	SVO	_
btd	4	14	2	5	27	3	VSO	_
bth	5	52	8	2	1	3	SVO	_
bts	4	17	3	4	44	6	VSO	_
btx	3	23	1	6	11	9	SVO	No dominant order
bua	50	4	8	12	2	3	SOV	_
bud	20	49	13	3	3	5	SVO	SVO
bug	8	25	3	4	10	3	SVO	SVO
