#type:		writing
#specification:	Assyrian Neo-Aramaic (aii)
#scriptcode:	Syrc
#source:	https://unicode.org/udhr/d/udhr_aii.html (last access: 03.09.2019)
#encoding:	utf-8
#copyright:	NA
#comments:	Full translation of the Universal Declaration of Human Rights into Assyrian. The document starts with a preamble ("ܥܘܬܕܐ"). Every subitem within an article has its own line.

‪<‬line_1>	ܥܘܬܕܐ
‪<‬line_2>	ܡܢ ܣܒܒ ܡܘܕܝܬܐ ܒܐܝܩܪܐ ܫܪܫܢܝܐ ܠܟܠܗ ܗܕܡܐ ܕܟܠܦܬ ܕܒܪܢܫܘܬܐ ܘܒܙܕܩܐ ܠܐ ܡܬܝܗܒ݂ܢܐ ܐܝܢܐ ܐܣܟܝܡܐ ܕܚܐܪܘܬܐ ܘܟܝܢܘܬܐ ܘܫܠܡܐ ܓܘ ܬܝܒ݂ܠ.
‪<‬line_3>	ܡܢ ܣܒܒ ܦܠܛܐ ܕܠܐ ܡܝܩܪܬܐ ܘܡܣܠܝܬܐ ܕܙܕܩܐ ܐܢܫܝܐ ܝܒ݂ܕܥܢܐ ܠܥܒ݂ܕܘܝܬܐ ܒܪܒܪܝܐ ܘܥܓܙܢܐ ܠܐܢܝܬ ܕܒܪܢܫܘܬܐ. ܘܐܬܵܝܬܵܐ ܚܕ ܕܘܢܝܐ ܐܝܟܐ ܕܒܪܢܫܐ ܒܕ ܦܨܚ ܒܚܐܪܘܬܐ ܕܗܡܙܡܬܐ ܘܗܝܡܢܘܬܐ ܘܚܐܪܘܬܐ ܡܢ ܙܕܪܘܥܬܐ ܘܣܢܝܩܘܬܐ ܦܝܫܝ ܡܘܪܒ݂ܚܐ ܐܝܟ ܐܢܝ ܢܝܼܫܐ ܒܘܫ ܥܠܝܐ ܕܐܢܫܐ ܥܝܕܝܐ.
‪<‬line_4>	ܡܢ ܣܒܒ ܐܢܢܩܝܬܐܝܠܗ ܩܐ ܩܢܘܢ ܫܐܩܠ ܫܘܦܐ ܠܢܛܪܬܐ ܙܕܩܐ ܕܒܪܢܫܐ ܩܐ ܠܐ ܥܒ݂ܕ ܡܪܘܕܘܬܐ ܕܪܩܒܠ ܕܛܪܘܢܐ ܘܙܠܘܡܝܐ.
‪<‬line_5>	ܡܢ ܣܒܒ ܥܡܹܐ ܕܐܡܘܬܐ ܡܚܝܕܐ ܡܫܪܘܪܢܐ ܓܘ ܥܘܬܕܐ ܗܝܡܢܘܬܝ ܓܘ ܙܕܩܐ ܐܢܫܝܐ ܘܓܘ ܐܝܩܪܐ ܦܪܨܘܦܝܐ ܘܒܪܒܪܘܬܐ ܓܘ ܙܕܩܐ ܘܫܘܝܐ ܕܢܫܐ ܘܕܟ݂ܪܐ. ܘܩܒ݂ܘܠܢܐ ܠܬܡܘܡܐ ܠܡܛܘܪܬܐ ܫܘܫܛܐ ܫܘܬܦܝܐ ܘܡܪܡܬܐ ܕܚܝܐ ܥܠ ܚܕ ܕܪܓ݂ܐ ܒܘܫ ܥܠܝܐ ܓܘ ܚܕ ܐܐܪ ܕܚܐܪܘܬܐ ܒܘܫ ܪܘܚܬܐ.
‪<‬line_6>	ܘܡܢ ܣܒܒ ܕܐܬܪܘܬܐ ܗܕܡܐ ܩܒ݂ܘܠܢܐ ܕܗܝܪܐ ܥܡ ܐܡܘܬܐ ܡܚܝܕܐ ܠܡܪܘܚܬܐ ܕܙܕܩܐ ܐܢܫܝܐ ܘܢܛܪܬܐ ܚܐܪܘܬܐ ܫܪܫܢܝܬܐ.
‪<‬line_7>	ܐܝܟܐ ܦܪܡܝܬܐ ܟܠܢܝܬܐ ܠܐܢܐ ܙܕܩܐ ܘܚܐܪܘܝܬܐ ܐܝܢܐ ܐܢܢܩܝܐ ܠܬܡܡܬܐ ܐܗܐ ܩܘܠܐ.
‪<‬line_8>	ܒܘܕ ܐܗܐ ܟܢܘܫܝܐ ܓܘܢܝܐ܆
‪<‬line_9>	ܡܘܕܘܝܠܗ ܕܐܗܐ ܒܘܕܩܐ ܬܝܒ݂ܠܝܐ ܕܙܕܩܐ ܐܢܫܝܐ ܐܝܠܐ ܚܕ ܡܟܡܠܬܐ ܓܘܢܝܬܐ ܩܐ ܟܠܗ ܐܢܫܐ ܘܐܬܪܘܬܐ ܠܦܘܬ ܢܝܫܐ ܕܟܠ ܦܪܣܘܦܐ ܘܟܠ ܓܘܫܡܐ ܕܫܘܬܦܘܬܐ ܕܬܚܪܐ ܗܡܫܐ ܠܐܗܐ ܥܘܬܕܐ ܘܓ̰ܪܒܝ ܠܡܩܪܝܬܐ ܘܡܠܦܬܐ ܘܠܡܪܘܚܬܐ ܐܝܩܪܐ ܩܐ ܐܢܐ ܙܕܩܐ ܘܚܐܪܘܬܐ ܒܝܕ ܐܘܪܚܬܐ ܡܬܩܕܡܢܐ ܐܬܪܢܝܐ ܘܬܝܒ݂ܠܝܐ ܠܢܛܪܬܐ ܠܐܢܐ ܦܣܘܠܝܬܐ ܡܬܩܕܡܢܐ.
‪<‬line_10>	ܡܠܘܐܐ 1
‪<‬line_11>	ܟܠ ܒܪܢܫܐ ܒܪܝܠܗ ܚܐܪܐ ܘܒܪܒܪ ܓܘ ܐܝܩܪܐ ܘܙܕܩܐ. ܘܦܝܫܝܠܗ ܝܗܒܐ ܗܘܢܐ ܘܐܢܝܬ. ܒܘܕ ܕܐܗܐ ܓܫܩܬܝ ܥܠ ܐܚܪܢܐ ܓܪܓ ܗܘܝܐ ܒܚܕ ܪܘܚܐ ܕܐܚܢܘܬܐ.
‪<‬line_12>	ܡܠܘܐܐ 2
