#type:		writing
#specification:	Esperanto (epo)
#scriptcode:	Latn
#source:	https://unicode.org/udhr/d/udhr_epo.html (last access: 19.09.2019)
#encoding:	utf-8
#copyright:	NA
#comments:	Full translation of the Universal Declaration of Human Rights into Luganda. "Artikolo" translates as "Article" and the document starts with a preamble ("Antaŭkonsideroj"). Every subitem within an article has its own line. 

<line_1>	Antaŭkonsideroj
<line_2>	Pro tio, ke agnosko de la esenca digno kaj de la egalaj kaj nefordoneblaj rajtoj de ĉiuj membroj de la homara familio estas la fundamento de libero, justo kaj paco en la mondo,
<line_3>	Pro tio, ke malagnosko kaj malestimo de la homaj rajtoj rezultigis barbarajn agojn, kiuj forte ofendis la konsciencon de la homaro, kaj ke la efektiviĝo de tia mondo, en kiu la homoj ĝuos liberecon de parolo kaj de kredo kaj liberiĝon el timo kaj bezono, estas proklamita kiel la plej alta aspiro de ordinaraj homoj,
<line_4>	Pro tio, ke nepre necesas, se la homoj ne estu devigitaj, sen alia elektebla vojo, ribeli kontraŭ tiranismo kaj subpremo, ke la homaj rajtoj estu protektataj de la leĝo,
<line_5>	Pro tio, ke nepre necesas evoluigi amikajn rilatojn inter la nacioj,
<line_6>	Pro tio, ke la popoloj de Unuiĝintaj Nacioj en la Ĉarto reasertis sian firman kredon je la fundamentaj homaj rajtoj, je la digno kaj valoro de la homa personeco kaj je la egalaj rajtoj de viroj kaj virinoj, kaj firme decidis antaŭenigi socian progreson kaj pli altnivelan vivon en pli granda libereco,
<line_7>	Pro tio, ke la Ŝtatoj-Membroj sin devigis atingi, en kunlaboro kun Unuiĝintaj Nacioj, la antaŭenigon de universala respekto al kaj observado de la homaj rajtoj kaj fundamentaj liberecoj,
<line_8>	Pro tio, ke komuna kompreno pri tiuj ĉi rajtoj kaj liberecoj estas esence grava por plena realigo de tiu sindevigo,
<line_9>	Tial, nun,
<line_10>	La Ĝenerala Asembleo,
<line_11>	Proklamas tiun ĉi Universalan Deklaracion de Homaj Rajtoj kiel komunan celon de atingo por ĉiuj popoloj kaj ĉiuj nacioj, por tio, ke ĉiu individuo kaj ĉiu organo de la socio, konstante atentante ĉi tiun Deklaracion, per instruado kaj edukado strebu al respektigo de tiuj ĉi rajtoj kaj liberecoj, kaj per laŭgradaj paŝoj naciaj kaj internaciaj certigu ilian universalan kaj efektivan agnoskon kaj observadon, same tiel inter la popoloj de la Ŝtatoj-Membroj mem, kiel inter la popoloj de teritorioj sub ilia jurisdikcio.
<line_12>	Artikolo 1
<line_13>	Ĉiuj homoj estas denaske liberaj kaj egalaj laŭ digno kaj rajtoj. Ili posedas racion kaj konsciencon, kaj devus konduti unu al alia en spirito de frateco.
<line_14>	Artikolo 2
<line_15>	Ĉiuj rajtoj kaj liberecoj difinitaj en tiu ĉi Deklaracio validas same por ĉiuj homoj, sen kia ajn diferencigo, ĉu laŭ raso, haŭtkoloro, sekso, lingvo, religio, politika aŭ alia opinio, nacia aŭ socia deveno, posedaĵoj, naskiĝo aŭ alia stato.
<line_16>	Plie, nenia diferencigo estu farata surbaze de la politika, jurisdikcia aŭ internacia pozicio de la lando aŭ teritorio, al kiu apartenas la koncerna persono, senkonsidere ĉu ĝi estas sendependa, sub kuratoreco, ne-sinreganta aŭ sub kia ajn alia limigo de la suvereneco.
<line_17>	Artikolo 3
<line_18>	Ĉiu havas la rajtojn je vivo, libereco kaj persona sekureco.
<line_19>	Artikolo 4
<line_20>	Neniu estu tenata en sklaveco aŭ servuteco; sklaveco kaj sklavkomerco estu malpermesitaj en ĉiuj siaj formoj.
<line_21>	Artikolo 5
<line_22>	Neniu suferu torturon aŭ kruelan, nehoman aŭ sendignigan traktadon aŭ punon.
<line_23>	Artikolo 6
<line_24>	Ĉiu rajtas esti ĉie agnoskita jure kiel persono.
<line_25>	Artikolo 7
<line_26>	Ĉiuj homoj estas jure egalaj, kaj rajtas sen diskriminacio al egala jura protekto. Ĉiuj rajtas ricevi egalan protekton kontraŭ kia ajn diskriminacio, kiu kontraŭas tiun ĉi Deklaracion, kaj kontraŭ kia ajn instigo al tia diskriminacio.
<line_27>	Artikolo 8
