#type:		writing
#specification:	Hebrew (heb)
#scriptcode: 	Hebr
#source:	https://unicode.org/udhr/d/udhr_heb.html (last access: 04.09.2019)
#encoding:	utf-8
#copyright:	NA
#comments:	Full translation of the Universal Declaration of Human Rights into Hebrew.THe document starts with a preamble ("הקדמה"). Every subitem within an article has its own line.


‪<‬line_1>	הקדמה
‪<‬line_2>	הואיל והכרה בכבוד הטבעי אשר לכל בני משפהת האדם ובזכויותיהם השוות והבלתי נפקעות הוא יסוד החופש, הצדק והשלום בעולם.
<line_3>	הואיל והזלזול בזכויות האדם וביזוין הבשילו מעשים פראיים שפגעו קשה במצפונה של האנושות; ובנין עולם, שבו ייהנו כל יצורי אנוש מחירות הדיבור והאמונה ומן החירות מפחד וממחסור, הוכרז כראש שאיפותיו של כל אדם.
<line_4>	הואיל והכרח חיוני הוא שזכויות האדם תהיינה מוגנות בכוח שלטונו של החוק, שלא יהא האדם אנוס, כמפלט אחרון, להשליך את יהבו על מרידה בעריצות ובדיכזי.
<line_5>	הואיל והכרח חיוני הוא לקדם את התפתחותם של יחסי ידידות בין האומות.
<line_6>	הואיל והעמים המאוגדים בארגון האומות המאוחדות חזרו ואישרו במגילה את אמונתם בזכויות היסוד של האדם, בכבודה ובערכה של אישיותו ובזכות שווה לגבר ולאשה; ומנוי וגמור אתם לסייע לקדמה חברתית ולהעלאת רמת החיים בתוך יתר חירות.
<line_7>	הואיל והמדינות החברות התחייבו לפעול, בשיתוף עם ארגון האומות המאוחדות, לטיפול יחס כבוד כללי אל זכויות האדם ואל חירויות היסוד והקפדה על קיומן.
<line_8>	הואיל והבנה משותפת במהותן של זכויות וחירויות אלה הוא תנאי חשוב לקיומה השלם של התחייבות זו.
<line_9>	לפיכך מכריזש העצרת באזני כל באי העולם את ההכרזש הזאת בדבר זכויות האדם כרמת הישגים כללית לכל העמים והאומות, כדי שכל יחיד וכל גוף חברתי ישווה תמיד לנגד עיניו וישאף לטפח, דרך לימוד וחינוך, יחס של כבוד אל הזכויות ואל החירויות הללו, ולהבטיח באמצעים הדרגתיים, לאומיים ובינלאומיים, שההכרה בעקרונות אלה וההקפדה עליהם תהא כללית ויעילה בקרב אוכלוסי המדינות החברות ובקרב האוכלוסים שבארצות שיפוטם. 
<line_10>	סעיף א.
<line_11>	כל בני אדם נולדו בני חורין ושווים בערכם ובזכויותיהם. כולם חוננו בתבונה ובמצפון, לפיכך חובה עליהם לנהוג איש ברעהו ברוח של אחוה.
<line_12>	סעיף ב.
<line_13>	כל אדם זכאי לזכויות ולחרויות שנקבעו בהכרזש זו ללא הפליה כלשהיא מטעמי גזע, צבע, מין, לשון, דח, דעה פוליטית או דעה בבעיות אחרות, בגלל מוצא לאומי או חברתי, קנין, לידה או מעמד אחר.
<line_14>	גדולה מזו, לא יופלה אדם על פי מעמדה המדיני, על פי סמכותה או על פי מעמדה הבינלאומי של המדינה או הארץ שאליה הוא שייך, דין שהארץ היא עצמאית, ובין שהיא נתונה לנאמנות, בין שהיא נטולת שלטון עצמי ובין שריבונותה מוגבלת כל הגבלה אחרת.
<line_15>	סעיף ג.
<line_16>	כל אדם יש לו הזכות לחיים, לחרות ולבטחון אישי.
<line_17>	סעיף ד.
<line_18>	לא יהיה אדם עבד או משועבד; עבדות וסחר עבדים יאסרו לכל צורותיהם.
<line_19>	סעיף ה.
<line_20>	לא יהיה אדם נתון לעינויים, ולא ליחס או לעונש אכזריים, בלתי אנושיים או משפילים.
<line_21>	סעיף ו.
<line_22>	כל אדם זכאי להיות מוכר בכל מקום כאשיות בפני החוק.
<line_23>	סעיף ז.
<line_24>	הכל שווים לפני החוק וזכזאים ללא הפליה להגנה שווה של החוק. הכל זכאים להגנה שווה מפני כל הפליה המפירה את מצוות ההכרזש הזאת ומפני כל הסתה להפליה כזו.
<line_25>	סעיף ח.
<line_26>	כל אחד זכאי לתקנה יעילה מטעם בחי הדין הלאומיים המוסמכים נגד מעשים המפירים את זכויות היסוד שניתנו לו על פי החוקה והחוקים.
<line_27>	סעיף ט.
<line_28>	לא ייאסר אדם, לא ייעצר ולא יוגלה באופן שרירותי.
<line_29>	סעיף י.
<line_30>	כל אדם זכאי, מתוך שויון גמור עם זולתו, למשפט הוגן ופומבי של בית-דין כלתי תלוי וללא משוא פנים בשעה שבאים לקבוע זכויותיו וחובותיו ולברר כל אשמה פלילית שהובאה נגדו.
<line_31>	סעיף יא.
<line_32>	1. אדם שנאשם בעבירה פלילית חזקתו שהוא זכאי, עד שלא הוכחה אשמתו כחוק במשפט פומבי שבי ניתנו לו כל הערובות הדרושות להגנתו.
<line_33>	2. לא יורשע אדם בעבירה פלילית על מעשה או על הזנחה שלא נחשבו בשעתם לעבירה פלילית לפי החוק הלאומי או הבינלאומי. לא יוטל עונש חמור מהעונש שהיה נוהג בזמן שעבר את העבירה הפלילית.
<line_34>	סעיף יב.
