#type:		writing
#specification:	Georgian (kat)
#scriptcode:	Geor
#source:	https://unicode.org/udhr/d/udhr_kat.html (last access: 04.09.2019)
#encoding:	utf-8
#copyright:	NA
#comments:	Full translation of the Universal Declaration of Human Rights into Georgian. The document starts with a preamble („პრეამბულა“). Every subitem within an article has its own line.

<line_1>	პრეამბულა
<line_2>	ვინაიდან ადამიანთა ოჯახის ყველა წევრისათვის დამახასიათებელი ღირსების და თანასწორი და განუყოფელი უფლებების აღიარება წარმოადგენს თავისუფლების, სამართლიანობის და საყოველთაო მშვიდობის საფუძველს; და
<line_3>	ვინაიდან ადამიანის უფლებათა უგულებელყოფამ და აბუჩად აგდებამ გამოიწვია ბარბაროსული აქტები, რაც აღაშფოთებს კაცობრიობის სინდისს, და რომ ისეთი მსოფლიოს შექმნა, რომელშიც ადამიანებს ექნებათ სიტყვისა და რწმენის თავისუფლება და რომელშიც ისინი იცხოვრებენ შიშისა და გაჭირვების გარეშე, გამოცხადებულია როგორც ადამიანთა მაღალი მისწრაფება; და
<line_4>	ვინაიდან აუცილებელია უფლებებს იცავდეს კანონის ძალა იმის უზრუნველსაყოფად, რათა ადამიანი იძულებული არ გახდეს მიმართოს აჯანყებას, როგორც უკანასკნელ საშუალებას ტირანიისა და ჩაგვრის წინააღმდეგ; და
<line_5>	ვინაიდან აუცილებელია ხელის შეწყობა ხალხათა შორის მეგობრულ ურთიერთობათა განვითარებისათვის; და
<line_6>	ვინაიდან გაერთიანებული ერების ხალხებმა წესდებაში დაადასტურეს თავიანთი რწმენა ადამიანის ძირითადი უფლებებისადმი, ადამიანის პიროვნების ღირსებისა და ღირებულების და კაცებისა და ქალების თანასწორუფლებიანობისადმი და გადაწყვიტეს ხელი შეუწყონ სოციალურ პროგრესსა და ცხოვრების უკეთეს დონეს მეტი თავისუფლების პირობებში; და
<line_7>	ვინაიდან წევრმა სახელმწიფოებმა იკისრეს ვალდებულება გაერთიანებული ერების ორგანიზაციასთან თანამშრომლობაში ხელი შეუწყონ ადამიანის უფლებათა და ძირითად თავისუფლებათა საყოველთაო ატივისცემასა და დაცვას; და
<line_8>	ვინაიდან ასეთ უფლებათა და თავისუფლებათა საყოველთაო გაგებას უდიდესი მნიშვნელობა აქვს ამ ვალდებულების მთლიანად შესრულებისათვის,
<line_9>	გენერალური ასამბლეა აცხადებს
<line_10>	ადამისანის უფლებათა ამ საყოველთაო დეკლარაციას ისეთ ამოცანად, რომლის შესრულებას უნდა ელტვოდეს ყველა ხალხი და სახელმწიფო, რათა ყოველი ადამიანი და საზოგადოების ყოველი ორგანო, ნიადაგ გაითვალისწინებს რა ამ დეკლარაციას, მიისწრაფოდეს სწავლა-განათლების მეშვეობით ხელი შეუწყოს ამ უფლებათა და თავისუფლებათა პატივისცემას და მათი საყოველთაო და ეფექტიანი აღიარება-განხორციელების უზრუნველყოფას ნაციონალური თუ საერთაშორისო პროგრესული ღონისძიებებით როგორც ორგანიზაციის წევრ სახელმწიფოთა ხალხებში, ასევე ამ სახელმწიფოების იურისდიქციისადმი დაქვემდარებულ ტერიტორიათა ხალხებში.
<line_11>	მუხლი 1.
<line_12>	ყველა ადამიანი იბადება თავისუფალი და თანასწორი თავისი ღირსებითა და უფლებებით. მათ მინიჭებული აქვთ გონება და სინდისი და ერთმანეთის მიმართ უნდა იქცეოდნენ ძმობის სულისკვეთებით.
<line_13>	მუხლი 2.
<line_14>	ამ დეკლარაცით გამოცხადებული ყველა უფლება და ყველა თავისუფლება მინიჭებული უნდა ჰქონდეს ყოველ ადამიანს განურჩევლად რაიმე განსხვავების, სახელდობრ, რასის, კანის ფერის, სქესის, ენის, რელიგიის, პოლიტიკური თუ სხვა რწმენის, ეროვნული თუ სოციალური წარმომავლობის, ქონებრივი, წოდებრივი თუ სხვა მდგომარეობისა.
<line_15>	გარდა ამისა, დაუშვებელია რაიმე განსხვავება იმ ქვეყნის თუ ტერიტორიის პოლიტიკური, სამართლებრივი ან საერთაშორისო სტატუსის საფუძველზე, რომელსაც ადამიანი ეკუთვნის, მიუხედავად იმისა, თუ როგორია ეს ტერიტორია - დამოუკიდებელი, სამეურვეო, არათვითმმართველი თუ სხვაგვარად შეზღუდული თავის სევერენიტეტში.
<line_16>	მუხლი 3.
<line_17>	ყოველ ადამიანს აქვს სიცოცხლის, თავისუფლებისა და პირადი ხელშეუხებლობის უფლება. 
<line_18>	მუხლი 4.
<line_19>	არავინ არ უნდა იმყოფებოდეს მონობაში ან ძალმომრეობით მორჩილების მდგომარეობაში. ყველა სახის მონობა და მონათვაჭრობა აკრძალულია.
<line_20>	მუხლი 5.
<line_21>	არავის მიმართ არ უნდა იქნეს გამოყენებული წამება ან სასტიკი, არაადამიანური თუ მისი ღირსების დამამცირებელი მოპყრობა და სასჯელი.
<line_22>	მუხლი 6.
<line_23>	ყოველ ადამიანს, სადაც უნდა იმყოფებოდეს იგი, იმის უფლება აქვს, რომ აღიარებულ იქნეს მისი სამართალსუბიექტობა.
<line_24>	მუხლი 7.
<line_25>	ყველა ადამიანი თანასწორია კანონის წინაშე და, განურჩევლად რაიმე განსხვავებისა, ყველას აქვს უფლება თანაბრად იყოს დაცული კანონის მიერ. ყველა ადამიანს აქვს უფლება თანაბრად იყოს დაცული ამ დეკლარაციის დამრღვევი ყოველგვარი დისკრიმინაციისაგან და ასეთი დისკრიმინაციის ყოველგვარი წაქეზებისაგან.
<line_26>	მუხლი 8.
<line_27>	ყოველ ადამიანს აქვს უფლება ეფექტიანად იქნეს აღდგენილი უფლებებში კომპეტენტური ნაციონალური სასამართლოების მიერ იმ შემთხვევაში, როცა დარღვეულია მისთვის კონსტიტუციით თუ კანონით მინიჭებული ძირითადი უფლებები.
<line_28>	მუხლი 9.
<line_29>	არავის დაპატიმრება, დაჭერა ან გაძევება არ შეიძლება თვითნებურად.
<line_30>	მუხლი 10.
