#type:		writing
#specification:	Lao (lao)
#scriptcode:	Laoo
#source:	https://unicode.org/udhr/d/udhr_lao.html (last access: 16.09.2019)
#encoding:	utf-8
#copyright:	NA
#comments:	Full translation of the Universal Declaration of Human Rights into Lao. The document starts with a preamble („ບົດນຳ“). Every subitem within an article has its own line.

<line_1>	ບົດນຳ
<line_2>	ດ້ວຍເຫດວ່າ: ການຮັບຮູ້ກຽດຕິສັກອັນມີປະຈຳຢູ່ຕົວບຸກຄົນໃນວົງສະກຸນຂອງມະນຸດທຸກໆຄົນ ແລະ ການຮັບຮູ້ສິດສະເໝີພາບ ແລະ ສະເຖຍລະພາບຂອງບຸກຄົນເຫຼົ່ານັ້ນ ປະກອບເປັນຮາກຖານຂອງສິດເສລີພາບ ຍຸດຕິທຳ ແລະ ສັນຕິພາບຂອງໂລກ.
<line_3>	ດ້ວຍເຫດວ່າ: ການບໍ່ຮັບຮູ້ ແລະ ໜີ່ນປະໝາດຕໍ່ສິດຂອງມະນຸດນັ້ນໄດ້ເປັນຕົ້ນເຫດໃຫ້ເກີດການກະທຳຢ່າງປ່າເຖື່ອນຊື່ງຈະເຮັດໃຫ້ແຄ້ນໃຈຕໍ່ມະໂນທຳຂອງມະນຸດ ແລະ ເຫັນວ່າການນຳຊື່ງໂລກມະນຸດທີ່ຈະມີອິດສະຫຼະໃນການສະແດງຄວາມເວົ້າ ແລະ ຄວາມເຊື່ອຖືຊື່ງຈະພົ້ນຈາກຄວາມຫວາດຫວັ່ນ ຢ້ານກົວ ແລະ ຍາກຈົນຂົ້ນແຄ້ນນັ້ນໄດ້ຖືກປະກາດວ່າ: ເປັນຄວາມປາຖະໜາອັນຍອດຍີ່ງຂອງມະນຸດ.
<line_4>	ດ້ວຍເຫດວ່າ: ມີຄວາມສຳຄັນທີ່ຕ້ອງລະບຽບສິດປ້ອງກັນສິດທັງຫຼາຍຂອງມະນຸດເພື່ອບໍ່ໃຫ້ບຸກຄົນຖືກບັງຄັບໃຈໃຫ້ຕໍ່ສູ້ຄວາມບຽດບຽນຂ້ຽວແຂ້ນແລະຄວາມກົດຂີ່ຂົ່ມເຫງຈົນເຫຼືອວິໃສ.
<line_5>	ດ້ວຍເຫດວ່າ: ເປັນຂໍ້ສຳຄັນທີ່ຕ້ອງເຊີດຊູສຳພັນທະໄມຕີລະຫວ່າງປະເທດຊາດໃຫ້ດີຍີ່ງຂື້ນ;
<line_6>	ດ້ວຍເຫດວ່າ: ໃນກົດໝາຍໂລກນັ້ນປະຊາຊົນແຫ່ງສະຫະປະຊາຊາດໄດ້ປະກາດຢືນຢັນຄວາມເຊື່ອຖືຂອງຕົນອີກໃນສິດສຳຄັນຂອງມະນຸດ ໃນກຽດຕິສັກ ແລະ ຄຸນຄ່າຂອງບຸກຄົນໃນຄວາມສະເໝີພາບຂອງສິດສ່ວນບຸກຄົນຜູ້ຊາຍ ຫຼື ຜູ້ຍິງ ແລະ ເຫັນວ່າ:ປະຊາຊົນເຫຼົ່ານັ້ນໄດ້ປະກາດຕົນເປັນຜູ້ຈະເລີນພໍແລ້ວທີ່ຈະຊ່ວຍສະໜັບສະໜູນຄວາມກ້າວໜ້າທາງດ້ານສັງຄົມປະລະຈະຈັດຕັ້ງມາດຕະຖານການຄອງຊີບໃຫ້ດີຍີ່ງຂື້ນໂດຍເສລີພາບອັນກວ້າງຂວາງ:
<line_7>	ດ້ວຍເຫດວ່າ: ລັດສະມາຊິກຕ່າງໆໄດ້ໃຫ້ຄວາມໝັ້ນສັນຍາວ່າຈະຮ່ວມມືກັບອົງການສະຫະປະຊາຊາດເພື່ອຈັດດຳເນີນການໃຫ້ການນັບຖືສິດທັງຫຼາຍຂອງມະນຸດ ແລະ ສິດເສລີພາບອັນສຳຄັນທັງມວນໄດ້ເປັນໄປທົ່ວໂລກຢ່າງປະຈັກ.
<line_8>	ດ້ວຍເຫດວ່າ: ຄວາມເຂົ້າໃຈໃນສິດເສລີພາບເຫຼົ່ານີ້ໂດຍທົ່ວກັນເປັນຂໍ້ສຳຄັນຍີ່ງເພື່ອປະຕິບັດຕາມສັນຍານີ້ຢ່າງສົມບູນ.
<line_9>	ກອງປະຊຸມໃຫຍ່ຈື່ງປະກາດວ່າ:
<line_10>	ປະກາດສາກົນກ່ຽວກັບສິດຂອງມະນຸດສະບັບນີ້ເປັນອຸດົມຂະຕິຮ່ວມກັນທີ່ຈະໃຫ້ຊົນຊາດ ແລະ ປະເທດຊາດທຸກໆຊາດບັນລຸເຖິງ ເພື່ອຈະໃຫ້ບຸກຄົນທຸກຄົນ ແລະ ອົງການສັງຄົມທຸກອົງການ ຊື່ງຖືເອົາປະກາດນີ້ເປັນນິໃສປະຈຳໃຈສະເໝີນັ້ນພະຍາຍາມຈັດການໃຫ້ມີຜູ້ນັບຖືສິດ ແລະ ເສລີພາບເຫຼົ່ານີ້ໃຫ້ກວ້າງຂວາງອອກໄປໂດຍການສຶກສາ ແລະ ການອົບຮົມ ແລະ ຈັດການໃຫ້ມີຜູ້ຮັບຮູ້ ແລະ ປະຕິບັດສິດ ແລະ ເສລີພາບນີ້ທົ່ວໄປຢ່າງປະຈັກໂດຍໃຊ້ລະບຽບຕາມຂັ້ນຂອງຊາດໃຫ້ໄດ້ຜົນເປັນລຳດັບຂື້ນໄປ; ການນັບຖືສິດ ແລະ ເສລີພາບນີ້ໃຫ້ດຳເນີນໄປໃນທ່າມກາງຊາວຊົນພົນລະເມືອງຂອງບັນດາລັດສະມາຊິກນັ້ນເອງພ້ອມກັບທັງຊາວຊົນພົນລະເມືອງຂອງບັນດາດິນແດນທີ່ຢູ່ໃນອຳນາດແຫ່ງກົດໝາຍຂອງລັດເຫຼົ່ານັ້ນດ້ວຍ.
<line_11>	ມາດຕາ 1:
