ISO,SOV,SVO,OSV,OVS,VSO,VOS,MAX,WALS,Num_Sentences,SO,OS,H,H_SO,num_tokens,H_ML,H_MM,H_Jeff,H_Lap,H_SG,H_minmax,H_CS,H_NSB,H_shrink,corpus
amm,8,1,0,0,1,0,SOV,_,10,10,0,0.921928094887362,0,50000,8.539974792,8.6001207483,8.7611935887,8.9558378403,8.5400884535,8.56519332,8.7261456716,8.6557668499,8.5460222663,PBC
byx,0,27,0,0,3,0,SVO,_,30,30,0,0.468995593589281,0,50000,7.5699263919,7.5937308601,7.6624632317,7.748582544,7.5700430045,7.5957112999,7.6309278263,7.6183247235,7.5764430263,PBC
cbt,2,0,0,0,0,0,SOV,_,2,2,0,0,0,50000,10.2853352654,10.4004911835,10.5866729291,10.8310584951,10.2854197301,10.3040960704,10.5554761826,10.4189691155,10.3022218125,PBC
cbu,3,1,0,0,0,0,SOV,SOV,4,4,0,0.811278124459133,0,50000,10.916500091,11.0577110816,11.2351249609,11.4835458928,10.9165745014,10.9330301218,11.1925673969,11.0441950552,10.9432366436,PBC
cnt,0,5,0,0,6,0,VSO,_,11,11,0,0.994030211476956,0,50000,9.267361615,9.3416459826,9.5092616142,9.7166799566,9.2674636647,9.2900075943,9.4639697903,9.3877215219,9.2805572137,PBC
dnj,5,2,0,0,2,0,SOV,_,9,9,0,1.43552050428267,0,50000,7.716457001,7.7384292465,7.7987423984,7.8753974915,7.7165692942,7.7412664286,7.7698938931,7.7587069069,7.7268373824,PBC
hix,0,0,0,0,0,0,SOV,OVS,0,0,0,0,0,,,,,,,,,,,
med,1,0,0,0,0,0,SOV,_,1,1,0,0,0,50000,8.0032247615,8.0327423021,8.1126974474,8.2133733788,8.0033367415,8.0280019118,8.0793833989,8.0595420109,8.01302287,PBC
mtp,0,0,0,0,0,0,SOV,_,0,0,0,0,0,50000,8.5080735401,8.6068115887,8.8938067634,9.2169705556,8.5081974535,8.5356001445,8.854582064,8.720191741,8.5115751376,PBC
neb,6,0,0,0,1,0,SOV,_,7,7,0,0.591672778582328,0,50000,8.2006391026,8.2499359922,8.3942729733,8.5669483738,8.2007596693,8.2273682064,8.3515247347,8.3046308453,8.2091001744,PBC
